Rank,Coach,School,TotalPay,Conf.,ScheduledSchoolPay,ContractYearPandemicReduction,ActualSchoolPay,TotalPandemicReduction,Buyout
77,Andy Avalos,Boise State,1500000,MWC,1500000,0,1500000,0,5109808
78,Marcus Arroyo,UNLV,1500000,MWC,1500000,0,1500000,0,3618750
79,Kalen DeBoer,Fresno State,1350000,MWC,1350000,0,1350000,0,3450000
80,Sonny Dykes,Southern Methodist,1307094,AAC,1307094,na,1307094,na,na
81,Randy Edsall,Connecticut,1256000,INDEP,1256000,0,1256,\000,0,na
82,Jason Candle,Toledo,1177350,MAC,1200000,25000,1175000,75000,1458333
83,Hugh Freeze,Liberty,1138306,INDEP,1138306,na,1138,306,na,na
84,Butch Davis,Florida International,1093956,CUSA,1093956,0,1093956,0,45582
85,Brady Hoke,SanDiego State,1050000,MWC,1050000,0,1050000,0,5312500
86,Blake Anderson,Utah State,1000000,MWC,1000000,0,1000000,0,3250000
87,Mike Bloomgren,Rice,934171,CUSA,934171,na,934171,na,na
88,Rick Stockstill,Middle Tennessee,910504,CUSA,901504,0,901504,0,4998699
89,Jamey Chadwell,Coastal Carolina,871250,S-Belt,871250,0,871250,13410,2650052
90,Jim McElwain,Central Michigan,840000,MAC,840000,0,840000,6000,2000000
91,Jeff Traylor,Texas-SanAntonio,830000,CUSA,830000,0,830000,57500,2867183
92,Butch Jones,Arkansas State,825000,S-Belt,825000,0,825000,0,2041667
93,Todd Graham,Hawaii,800000,MWC,800000,0,800000,0,1310429
94,Will Hall,Southern Mississippi,800000,CUSA,800000,0,800000,0,2466667
95,Jake Spavital,Texas State,800000,S-Belt,800000,0,800000,0,796712
96,Will Healy,Charlotte,793901,CUSA,805000,11099,793901,19423,2104167
97,Shawn Elliott,Georgia State,779000,S-Belt,779000,0,779000,0,1500000
98,Skip Holtz,Louisiana Tech,779000,CUSA,775000,0,775000,0,3002083
99,Shawn Clark,Appalachian State,775000,S-Belt,775000,0,775000,0,3000000
100,Willie Taggart,Florida Atlantic,775000,CUSA,775000,0,775000,0,2250000
101,Ricky Rahne,Old Dominion,762296,CUSA,762296,0,762296,0,2334532
102,Charles Huff,Marshall,755500,CUSA,755500,0,755500,0,2392417
103,Tyson Helton,Western Kentucky,751470,CUSA,800004,53334,746670,153334,600000
104,Chip Lindsey,Troy,750000,S-Belt,750000,0,750000,0,670000
105,Dana Dimel,Texas ElPaso,748966,CUSA,786999,41533,745466,71200,830666
106,Tim Lester,Western Michigan,709700,MAC,800000,100000,700000,200000,400000
107,Kane Wommack,South Alabama,700000,S-Belt,700000,0,700000,0,2151563
108,Danny Gonzales,New Mexico,700000,MWC,700000,0,700000,0,1600000
109,Chad Lunsford,Georgia Southern,680000,S-Belt,680000,0,680000,0,na
110,Maurice Linguist,Buffalo,675000,MAC,675000,0,675000,0,1939583
111,Thomas Hammock,Northern Illinois,630609,MAC,630609,0,630609,52020,1408308
112,Walt Bell,Massachusetts,628750,INDEP,660000,31250,628750,62500,939212
113,Jay Norvell,Nevada,619250,MWC,625000,5750,619250,6900,1979167
114,Chuck Martin,Miami(Ohio),541667,MAC,560000,18333,541667,55000,1250000
115,Tim Albin,Ohio,535000,MAC,535000,0,535000,0,579583
116,Mike Neu,Ball State,534867,MAC,550000,20133,529867,45300,1100000
117,Chris Creighton,Eastern Michigan,515000,MAC,515000,0,515000,21117,1000000
118,Sean Lewis,Kent State,510000,MAC,510000,0,510000,0,2245000
119,Tom Arth,Akron,496083,MAC,500000,3917,496083,47000,648853
120,Scot Loeffler,Bowling Green,475000,MAC,525000,50000,475000,100000,1050000
121,Doug Martin,New Mexico State,437000,INDEP,437000,0,437000,0,254917
122,Terry Bowden,UL Monroe,430000,S-Belt,430000,0,430000,0,175000
123,Jeff Monken,Army,na,INDEP,na,na,na,na,na
124,James Franklin,Penn State,na,BigTen,7,000,000,na,na,na,na
125,Kalani Sitake,Brigham Young,na,INDEP,na,na,na,na,na
126,Manny Diaz,Miami,na,ACC,na,na,na,na,na
127,Jeff Hafley,Boston College,na,ACC,na,na,na,na,na
128,Troy Calhoun,AirForce,na,MWC,na,na,na,na,na
129,Dave Aranda,Baylor,na,Big12,na,na,na,na,na
130,Clark Lea,Vanderbilt,na,SEC,na,na,na,na,na
